host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,name_length,description_length,host_about_length,bathroom,bathroom_type,host_verifications_count,amenities_count,review_scores_rating,year_host,neighbourhood_cleansed2
a few days or more,33,100,FALSE,3,3,TRUE,Kallang,Central Region,1.31057,103.85861,hostel,Hotel room,6,6,150,1,1125,1,1,365,1125,1,947.9,0,0,8,283,15,0,0,9,9,9,9,9,9,TRUE,3,0,0,0,0.8,48,718,NA,3,Other,3,22,87,565,Kallang
within an hour,100,98,TRUE,14,14,TRUE,Bukit Merah,Central Region,1.28437,103.83421,apartment,Entire home/apt,2,1,124,1,365,4,6,365,365,6,365,17,47,77,352,64,61,3,10,10,10,10,9,10,TRUE,9,9,0,0,4.17,43,1000,NA,1,Other,2,15,99,570,Others
within an hour,100,98,TRUE,14,14,TRUE,Outram,Central Region,1.2847,103.8357,apartment,Entire home/apt,2,1,130,1,365,2,6,365,365,5.9,365,20,50,80,355,23,23,2,10,9,10,10,10,9,TRUE,9,9,0,0,2.01,48,1000,NA,1,Other,2,15,96,570,Outram
within an hour,100,98,FALSE,127,127,TRUE,Outram,Central Region,1.2841,103.84253,apartment,Private room,1,1,30,18,1125,13,18,1125,1125,17.9,1125,14,44,74,349,0,0,0,NA,NA,NA,NA,NA,NA,FALSE,136,2,134,0,NA,37,1000,70,1,Private,5,29,NA,3149,Outram
N/A,NA,100,FALSE,4,4,TRUE,Rochor,Central Region,1.30283,103.85765,hostel,Private room,4,4,120,1,1125,1,1,1125,1125,1,1125,29,59,89,364,0,0,0,NA,NA,NA,NA,NA,NA,FALSE,4,0,4,0,NA,30,535,NA,12,Shared,1,1,NA,567,Rochor
N/A,NA,100,FALSE,4,4,TRUE,Rochor,Central Region,1.30156,103.85761,hostel,Private room,3,3,95,1,1125,1,1,1125,1125,1,1125,29,59,89,364,1,1,0,10,10,10,10,10,10,FALSE,4,0,4,0,0.09,28,535,NA,12,Other,1,1,100,567,Rochor
N/A,NA,100,FALSE,4,4,TRUE,Rochor,Central Region,1.30146,103.85951,hostel,Private room,2,2,65,1,1125,1,1,1125,1125,1,1125,29,59,89,364,5,1,0,9,9,8,8,10,8,FALSE,4,0,4,0,0.28,32,535,NA,12,Other,1,1,80,567,Rochor
a few days or more,33,100,FALSE,3,3,TRUE,Kallang,Central Region,1.31111,103.85792,hostel,Hotel room,6,6,180,1,1125,1,1,365,1125,1,947.9,0,0,8,283,0,0,0,NA,NA,NA,NA,NA,NA,TRUE,3,0,0,0,NA,50,718,NA,4,Other,3,21,NA,565,Kallang
within a day,50,100,FALSE,8,8,TRUE,Singapore River,Central Region,1.28722,103.84922,hostel,Hotel room,1,1,70,1,365,1,1,1,365,1,50.4,26,56,86,337,6,0,0,9,9,10,8,10,8,TRUE,8,0,0,0,0.32,39,430,NA,16,Other,2,13,83,586,Others
within a day,50,100,FALSE,8,8,TRUE,Downtown Core,Central Region,1.28839,103.85002,hostel,Hotel room,2,1,95,1,365,1,1,365,365,1,365,0,28,58,309,6,1,0,8,8,8,8,9,8,TRUE,8,0,0,0,0.32,37,430,NA,13,Other,2,13,83,586,Downtown Core
