"","listing_id","nearest_stn","stn_distance","dist_centre"
"1113",19895150,"DOWNTOWN MRT STATION",171.507915619976,685.429192690245
"1114",19913186,"KANGKAR LRT STATION",833.550971886692,11540.9713806463
"1115",19953933,"FORT CANNING MRT STATION",383.83257234181,1193.78051475986
"1116",19975545,"BOON KENG MRT STATION",1035.98125825526,4250.82293261989
"1117",20000821,"TOA PAYOH MRT STATION",1073.60982638626,4295.50685538232
"1118",20003123,"ALJUNIED MRT STATION",35.7249062468212,4666.53237350252
"1119",20004744,"OUTRAM PARK MRT STATION",67.5232217945903,1710.28822984125
"1120",20009657,"NEWTON MRT STATION",772.184833996486,3899.07634629953
"1121",20016031,"TANJONG PAGAR MRT STATION",362.673557631027,1558.95150735
"1122",20016671,"NOVENA MRT STATION",420.792993203196,4310.49630421065
"1123",20018299,"NOVENA MRT STATION",970.981098519347,4109.09856330584
"1124",20019928,"BOON KENG MRT STATION",1050.19210095639,4282.03479724789
"1125",20040797,"BOON KENG MRT STATION",1061.39472054908,4204.32899550221
"1126",20040955,"NOVENA MRT STATION",1013.01481328085,4221.33018801952
"1127",20059256,"NOVENA MRT STATION",1022.31671570517,4086.72099987294
"1128",20060105,"BOON KENG MRT STATION",984.188861785551,4073.41653802005
"1129",20065234,"FARRER PARK MRT STATION",504.399678443947,2705.36897661391
"1130",20065780,"CANBERRA MRT STATION",720.323020610028,17588.0829948349
"1131",20068221,"ALJUNIED MRT STATION",423.812355914261,4877.79559953812
"1132",20069280,"YEW TEE MRT STATION",605.635714158313,17630.3699544934
"1133",20084815,"ORCHARD MRT STATION",19.8146670854062,3021.15485316504
"1134",20096441,"ORCHARD MRT STATION",189.178427079533,2873.75017108597
"1135",20097996,"QUEENSTOWN MRT STATION",341.853696269011,5184.88376532395
"1136",20100445,"TOA PAYOH MRT STATION",1064.04334435473,4236.76676913248
"1137",20112966,"ALJUNIED MRT STATION",325.014899979736,4630.27191621665
